Time frequency,Crop production,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,Olive trees,Tonne,Egypt,314450.0,544640.0,507053.0,480071.0,449009.0,390932.0,459650.0,563070.0,541790.0,565669.0,699000.0,875000.0,1095000.0,:,:
Annual,Olive trees,Tonne,Israel,29000.0,60000.0,29500.0,48750.0,30500.0,73500.0,66000.0,63000.0,67000.0,90000.0,98000.0,91000.0,87000.0,54500.0,:
Annual,Olive trees,Tonne,Jordan,113069.7 e,146828.9 e,125029.0 e,94068.0 e,140719.0 e,171672.0 e,131847.0 e,155640.0 e,128186.0 e,155764.0,200825.0 e,115800.0,145100.0,125200.0,:
Annual,Olive trees,Tonne,Lebanon,76500.0,177300.0,76200.0,120800.0,85200.0,:,:,:,:,:,:,157600.0 e,:,:,:
Annual,Olive trees,Tonne,Morocco,478062.0,571809.0,584427.0,661777.0,803399.0,1444205.0,1405224.3,1315793.0,1181676.0,1573206.0,1144266.0,1416100.0,1039100.0,1561465.2 p,1912238.0 p
Annual,Olive trees,Tonne,Palestine*,85765.0 de,137805.0 di,50573.0 de,85651.0 de,:,:,75530.0 di,:,:,:,:,:,:,:,:
Annual,Olive trees,Tonne,Tunisia,663000.0,1075500.0,915000.0,1016000.0,818000.0,770000.0,622000.0,986700.0,1125000.0 p,537000.0,1724000.0,721000.0,520000.0,:,:
Annual,Olive trees for table olives,Tonne,Algeria,85703.5,68475.0,81778.0,91099.0,98250.5,135936.8,192785.0,145826.0,174934.5,208350.7,233462.6,221300.0,292800.0,:,:
Annual,Olive trees for table olives,Tonne,Israel,9000.0,22000.0,14000.0,18750.0,15500.0,21000.0,16000.0,16000.0,17000.0,25000.0,23000.0,21000.0,22000.0,17000.0,:
Annual,Olive trees for table olives,Tonne,Jordan,22613.9 e,29365.8 e,25005.8 e,18813.6 e,28143.8 e,34334.0 e,26369.0 e,31128.0 e,25637.0 e,31153.0,40165.0 e,25100.0,31900.0,27600.0,:
Annual,Olive trees for table olives,Tonne,Morocco,119515.5 e,142952.3 e,146106.8 e,165444.3 e,200849.8 e,361051.3 e,351306.0 e,328948.0 e,295419.0 e,393301.0 e,286066.5 e,354024.5 e,259774.7 e,390365.8 e,:
Annual,Olive trees for table olives,Tonne,Palestine*,58455.0 e,-21254.0 i,14549.3 e,9263.2 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Olive trees for table olives,Tonne,Tunisia,13000.0,25500.0,15000.0,16000.0,18000.0,20000.0,22000.0,24000.0,25000.0,137000.0,24000.0,21000.0,20000.0,:,:
Annual,Olive trees for olive oil,Tonne,Algeria,230785.5,196258.0,127174.0,162968.0,376931.5,175315.2,417990.5,248014.0,403805.5,274509.3,420431.4,475111.0,391600.0,:,:
Annual,Olive trees for olive oil,Tonne,Israel,20000.0,38000.0,15500.0,30000.0,15000.0,52500.0,50000.0,47000.0,50000.0,65000.0,75000.0,70000.0,65000.0,37500.0,:
Annual,Olive trees for olive oil,Tonne,Jordan,90455.8 e,117463.1 e,100023.2 e,75254.4 e,112575.2 e,137338.0 e,105478.0 e,124512.0 e,102549.0 e,124611.0,160660.0 e,90700.0,113200.0,97600.0,:
Annual,Olive trees for olive oil,Tonne,Morocco,358546.5 e,428856.8 e,438320.3 e,496332.8 e,602549.3 e,1083153.8 e,1053918.3 e,986845.0 e,886257.0 e,1179905.0 e,858199.5 e,1062075.5 e,779325.3 e,1171099.4 e,:
Annual,Olive trees for olive oil,Tonne,Palestine*,27310.0 de,159059.0 di,36023.7 de,76387.8 de,19860.4 di,102161.9 d,93565.7 d,104762.6 d,65829.4 d,108379.0 d,95100.0 d,84100.0 d,87800.0 d,59300.0 d,:
Annual,Olive trees for olive oil,Tonne,Tunisia,650000.0,1050000.0,900000.0,1000000.0,800000.0,750000.0,600000.0,962700.0,1100000.0 p,400000.0,1700000.0,700000.0,500000.0,:,:
Annual,Dates,Tonne,Algeria,516293.4,492188.0,526921.0,552765.0,600696.0,644741.0,724894.0,789357.0,848199.0,934377.2,990377.0,1029600.0,1058600.0,1094700.0,:
Annual,Dates,Tonne,Egypt,1159689.0,1328721.0,1313896.0,1326133.0,1270478.0,1352954.0,1373570.0,1400072.0,1328468.0,1465030.0,1685000.0,1549000.0,1542000.0,:,:
Annual,Dates,Tonne,Israel,15974.0,17668.0,17377.0,18078.0,23231.0,30618.0,37008.0,42866.0,39300.0,40754.0,41200.0,43200.0,43900.0,44580.0,:
Annual,Dates,Tonne,Jordan,3114.9 e,3964.8 e,6532.0 e,7437.0 e,9681.0 e,11241.0 e,11213.0 e,10417.0 e,11981.0 e,9764.0,20141.0 e,25200.0,25400.0,26200.0,:
Annual,Dates,Tonne,Lebanon,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Dates,Tonne,Morocco,46114.0,45307.0,67206.0,68905.0,90431.0,93537.0,102962.0,101862.0,111924.0,102201.0,100376.0,125329.0,129561.0,111701.0 p,101537.0 p
Annual,Dates,Tonne,Palestine*,3608.0 e,2443.0 e,3030.0 e,3997.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Dates,Tonne,Tunisia,113000.0,131000.0,124000.0,145000.0,162000.0,174000.0,189538.0,190000.0,196511.0,199000.0,223000.0,241000.0,260000.0,:,:
