root_ancestor,domain,measure_1,measure_2,tree_1,tree_2
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by risk of poverty threshold,Persons at risk of monetary poverty after social transfers - EU-SILC and ECHP surveys,1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by risk of poverty threshold,Persons at risk of monetary poverty after social transfers by citizenship,1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by risk of poverty threshold,"Persons living in households with very low work intensity, by age group",1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by risk of poverty threshold,Persons outside the labour force due to caring responsibilities by sex,1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by risk of poverty threshold,Persons employed part-time - Total,1035,1027
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by risk of poverty threshold,Persons subject of asylum applications pending at the end of the month - monthly data,1035,1041
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons at risk of poverty or social exclusion - EU2030 target,1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons at risk of poverty or social exclusion by age and sex,1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons at risk of poverty or social exclusion by tenure status - EU strategy,1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons at risk of poverty or social exclusion by tenure status,1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons at risk of poverty or social exclusion by NUTS regions - EU strategy,1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons at risk of poverty or social exclusion by NUTS regions,1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons at risk of poverty or social exclusion by degree of urbanisation,1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,"Persons feeling left out from society by sex, age and level of disability (activity limitation)",1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,"Persons who receive a pension, by type of pension (%)",1035,1050
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons who reduced their working hours in a move towards retirement (%),1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1035,1041
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons subject to immigration law enforcement - per thousand persons,1035,1042
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons at risk of poverty or social exclusion,1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons at risk of monetary poverty after social transfers - EU-SILC and ECHP surveys,1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons at risk of monetary poverty after social transfers by citizenship,1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,"Persons living in households with very low work intensity, by age group",1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons outside the labour force due to caring responsibilities by sex,1035,1017
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons employed part-time - Total,1035,1027
1017,"People, Work & Living Conditions",Persons owning real estate other than main residence by income quantile,Persons subject of asylum applications pending at the end of the month - monthly data,1035,1041
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion - EU2030 target,"Persons who receive a pension, by type of pension (%)",1017,1050
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion - EU2030 target,"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1017,1041
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion - EU2030 target,Persons subject to immigration law enforcement - per thousand persons,1017,1042
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion - EU2030 target,Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion - EU2030 target,Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by age and sex,"Persons who receive a pension, by type of pension (%)",1017,1050
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by age and sex,"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1017,1041
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by age and sex,Persons subject to immigration law enforcement - per thousand persons,1017,1042
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by age and sex,Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by age and sex,Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by tenure status - EU strategy,"Persons who receive a pension, by type of pension (%)",1017,1050
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by tenure status - EU strategy,"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1017,1041
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by tenure status - EU strategy,Persons subject to immigration law enforcement - per thousand persons,1017,1042
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by tenure status - EU strategy,Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by tenure status - EU strategy,Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by tenure status,"Persons who receive a pension, by type of pension (%)",1017,1050
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by tenure status,"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1017,1041
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by tenure status,Persons subject to immigration law enforcement - per thousand persons,1017,1042
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by tenure status,Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by tenure status,Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by NUTS regions - EU strategy,"Persons who receive a pension, by type of pension (%)",1017,1050
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by NUTS regions - EU strategy,"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1017,1041
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by NUTS regions - EU strategy,Persons subject to immigration law enforcement - per thousand persons,1017,1042
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by NUTS regions - EU strategy,Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by NUTS regions - EU strategy,Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by NUTS regions,"Persons who receive a pension, by type of pension (%)",1017,1050
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by NUTS regions,"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1017,1041
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by NUTS regions,Persons subject to immigration law enforcement - per thousand persons,1017,1042
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by NUTS regions,Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by NUTS regions,Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by degree of urbanisation,"Persons who receive a pension, by type of pension (%)",1017,1050
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by degree of urbanisation,"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1017,1041
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by degree of urbanisation,Persons subject to immigration law enforcement - per thousand persons,1017,1042
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by degree of urbanisation,Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion by degree of urbanisation,Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,Living Well,"Persons rating their life satisfaction as high, medium or low by sex, age, educational attainment and domain","Persons practicing artistic activities by sex, age, educational attainment and frequency",1017,1038
1017,Living Well,"Persons rating their life satisfaction as high, medium or low by sex, age, educational attainment and domain","Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",1017,1039
1017,Living Well,"Persons rating their life satisfaction as high, medium or low by sex, age, educational attainment and domain","Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",1017,1039
1017,Living Well,"Persons being happy in the last 4 weeks by sex, age, educational attainment and frequency","Persons practicing artistic activities by sex, age, educational attainment and frequency",1017,1038
1017,Living Well,"Persons being happy in the last 4 weeks by sex, age, educational attainment and frequency","Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",1017,1039
1017,Living Well,"Persons being happy in the last 4 weeks by sex, age, educational attainment and frequency","Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",1017,1039
1017,"People, Work & Living Conditions","Persons feeling left out from society by sex, age and level of disability (activity limitation)","Persons who receive a pension, by type of pension (%)",1017,1050
1017,"People, Work & Living Conditions","Persons feeling left out from society by sex, age and level of disability (activity limitation)","Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1017,1041
1017,"People, Work & Living Conditions","Persons feeling left out from society by sex, age and level of disability (activity limitation)",Persons subject to immigration law enforcement - per thousand persons,1017,1042
1017,"People, Work & Living Conditions","Persons feeling left out from society by sex, age and level of disability (activity limitation)",Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions","Persons feeling left out from society by sex, age and level of disability (activity limitation)",Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,Living Well,"Persons participating in any cultural or sport activities in the last 12 months by sex, age and educational attainment","Persons practicing artistic activities by sex, age, educational attainment and frequency",1017,1038
1017,Living Well,"Persons participating in any cultural or sport activities in the last 12 months by sex, age and educational attainment","Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",1017,1039
1017,Living Well,"Persons participating in any cultural or sport activities in the last 12 months by sex, age and educational attainment","Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",1017,1039
1017,Living Well,"Persons participating in cultural or sport activities in the last 12 months by sex, age, educational attainment, activity type and frequency","Persons practicing artistic activities by sex, age, educational attainment and frequency",1017,1038
1017,Living Well,"Persons participating in cultural or sport activities in the last 12 months by sex, age, educational attainment, activity type and frequency","Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",1017,1039
1017,Living Well,"Persons participating in cultural or sport activities in the last 12 months by sex, age, educational attainment, activity type and frequency","Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",1017,1039
1017,Living Well,"Persons not participating in cultural or sport activities in the last 12 months by income quintile, household composition, degree of urbanisation, activity type and reasons","Persons practicing artistic activities by sex, age, educational attainment and frequency",1017,1038
1017,Living Well,"Persons not participating in cultural or sport activities in the last 12 months by income quintile, household composition, degree of urbanisation, activity type and reasons","Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",1017,1039
1017,Living Well,"Persons not participating in cultural or sport activities in the last 12 months by income quintile, household composition, degree of urbanisation, activity type and reasons","Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",1017,1039
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons getting together with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",1038,1017
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",1038,1017
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons having someone to ask for help by sex, age and educational attainment",1038,1017
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons having someone to discuss personal matters by sex, age and educational attainment",1038,1017
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",1038,1017
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",1038,1017
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by sex, age, educational attainment and reasons",1038,1017
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by income quintile, household composition, degree of urbanisation and reasons",1038,1017
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",1038,1039
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",1038,1039
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons not reading books in the last 12 months by sex, age, level of disability (activity limitation) and reasons",1038,1017
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons participating in cultural or sport activities by sex, age, level of disability (activity limitation), activity type and frequency",1038,1017
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons not participating in cultural or sport activities in the last 12 months by sex, age, level of disability (activity limitation), activity type and reasons",1038,1017
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons participating in formal/informal voluntary activities or active citizenship by sex, age, level of disability (activity limitation) and activity type",1038,1017
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency","Persons not participating in active citizenship by sex, age and level of disability (activity limitation)",1038,1017
1017,Living Well,"Persons practicing artistic activities by sex, age, educational attainment and frequency",Persons participating in tourism for personal purposes - number of tourists,1038,1017
1017,Living Well,"Persons getting together with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency","Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",1017,1039
1017,Living Well,"Persons getting together with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency","Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",1017,1039
1017,Living Well,"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency","Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",1017,1039
1017,Living Well,"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency","Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",1017,1039
1017,Living Well,"Persons having someone to ask for help by sex, age and educational attainment","Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",1017,1039
1017,Living Well,"Persons having someone to ask for help by sex, age and educational attainment","Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",1017,1039
1017,Living Well,"Persons having someone to discuss personal matters by sex, age and educational attainment","Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",1017,1039
1017,Living Well,"Persons having someone to discuss personal matters by sex, age and educational attainment","Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",1017,1039
1017,Living Well,"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment","Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",1017,1039
1017,Living Well,"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment","Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",1017,1039
1017,Living Well,"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation","Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",1017,1039
1017,Living Well,"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation","Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",1017,1039
1017,Living Well,"Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by sex, age, educational attainment and reasons","Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",1017,1039
1017,Living Well,"Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by sex, age, educational attainment and reasons","Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",1017,1039
1017,Living Well,"Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by income quintile, household composition, degree of urbanisation and reasons","Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",1017,1039
1017,Living Well,"Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by income quintile, household composition, degree of urbanisation and reasons","Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",1017,1039
1017,Living Well,"Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books","Persons not reading books in the last 12 months by sex, age, level of disability (activity limitation) and reasons",1039,1017
1017,Living Well,"Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books","Persons participating in cultural or sport activities by sex, age, level of disability (activity limitation), activity type and frequency",1039,1017
1017,Living Well,"Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books","Persons not participating in cultural or sport activities in the last 12 months by sex, age, level of disability (activity limitation), activity type and reasons",1039,1017
1017,Living Well,"Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books","Persons participating in formal/informal voluntary activities or active citizenship by sex, age, level of disability (activity limitation) and activity type",1039,1017
1017,Living Well,"Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books","Persons not participating in active citizenship by sex, age and level of disability (activity limitation)",1039,1017
1017,Living Well,"Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books",Persons participating in tourism for personal purposes - number of tourists,1039,1017
1017,Living Well,"Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books","Persons not reading books in the last 12 months by sex, age, level of disability (activity limitation) and reasons",1039,1017
1017,Living Well,"Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books","Persons participating in cultural or sport activities by sex, age, level of disability (activity limitation), activity type and frequency",1039,1017
1017,Living Well,"Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books","Persons not participating in cultural or sport activities in the last 12 months by sex, age, level of disability (activity limitation), activity type and reasons",1039,1017
1017,Living Well,"Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books","Persons participating in formal/informal voluntary activities or active citizenship by sex, age, level of disability (activity limitation) and activity type",1039,1017
1017,Living Well,"Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books","Persons not participating in active citizenship by sex, age and level of disability (activity limitation)",1039,1017
1017,Living Well,"Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books",Persons participating in tourism for personal purposes - number of tourists,1039,1017
1017,"People, Work & Living Conditions","Persons who receive a pension, by type of pension (%)",Persons who reduced their working hours in a move towards retirement (%),1050,1017
1017,"People, Work & Living Conditions","Persons who receive a pension, by type of pension (%)","Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1050,1041
1017,"People, Work & Living Conditions","Persons who receive a pension, by type of pension (%)",Persons subject to immigration law enforcement - per thousand persons,1050,1042
1017,"People, Work & Living Conditions","Persons who receive a pension, by type of pension (%)",Persons at risk of poverty or social exclusion,1050,1017
1017,"People, Work & Living Conditions","Persons who receive a pension, by type of pension (%)",Persons at risk of monetary poverty after social transfers - EU-SILC and ECHP surveys,1050,1017
1017,"People, Work & Living Conditions","Persons who receive a pension, by type of pension (%)",Persons at risk of monetary poverty after social transfers by citizenship,1050,1017
1017,"People, Work & Living Conditions","Persons who receive a pension, by type of pension (%)","Persons living in households with very low work intensity, by age group",1050,1017
1017,"People, Work & Living Conditions","Persons who receive a pension, by type of pension (%)",Persons outside the labour force due to caring responsibilities by sex,1050,1017
1017,"People, Work & Living Conditions","Persons who receive a pension, by type of pension (%)",Persons employed part-time - Total,1050,1027
1017,"People, Work & Living Conditions","Persons who receive a pension, by type of pension (%)",Persons subject of asylum applications pending at the end of the month - monthly data,1050,1041
1017,"People, Work & Living Conditions",Persons who reduced their working hours in a move towards retirement (%),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1017,1041
1017,"People, Work & Living Conditions",Persons who reduced their working hours in a move towards retirement (%),Persons subject to immigration law enforcement - per thousand persons,1017,1042
1017,"People, Work & Living Conditions",Persons who reduced their working hours in a move towards retirement (%),Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions",Persons who reduced their working hours in a move towards retirement (%),Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,"People, Work & Living Conditions","Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",Persons subject to immigration law enforcement - per thousand persons,1041,1042
1017,"People, Work & Living Conditions","Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",Persons at risk of poverty or social exclusion,1041,1017
1017,"People, Work & Living Conditions","Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",Persons at risk of monetary poverty after social transfers - EU-SILC and ECHP surveys,1041,1017
1017,"People, Work & Living Conditions","Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",Persons at risk of monetary poverty after social transfers by citizenship,1041,1017
1017,"People, Work & Living Conditions","Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data","Persons living in households with very low work intensity, by age group",1041,1017
1017,"People, Work & Living Conditions","Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",Persons outside the labour force due to caring responsibilities by sex,1041,1017
1017,"People, Work & Living Conditions","Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",Persons employed part-time - Total,1041,1027
1017,"People, Work & Living Conditions",Persons subject to immigration law enforcement - per thousand persons,Persons at risk of poverty or social exclusion,1042,1017
1017,"People, Work & Living Conditions",Persons subject to immigration law enforcement - per thousand persons,Persons at risk of monetary poverty after social transfers - EU-SILC and ECHP surveys,1042,1017
1017,"People, Work & Living Conditions",Persons subject to immigration law enforcement - per thousand persons,Persons at risk of monetary poverty after social transfers by citizenship,1042,1017
1017,"People, Work & Living Conditions",Persons subject to immigration law enforcement - per thousand persons,"Persons living in households with very low work intensity, by age group",1042,1017
1017,"People, Work & Living Conditions",Persons subject to immigration law enforcement - per thousand persons,Persons outside the labour force due to caring responsibilities by sex,1042,1017
1017,"People, Work & Living Conditions",Persons subject to immigration law enforcement - per thousand persons,Persons employed part-time - Total,1042,1027
1017,"People, Work & Living Conditions",Persons subject to immigration law enforcement - per thousand persons,Persons subject of asylum applications pending at the end of the month - monthly data,1042,1041
1017,Transports,Persons employed in oil pipeline enterprises by sex,Persons killed in road accidents by type of road,1026,1032
1017,Transports,Persons employed in principal railway enterprises by sex (until,Persons killed in road accidents by type of road,1026,1032
1017,Transports,Persons employed in goods road transport enterprises by employment size classes,Persons killed in road accidents by type of road,1026,1032
1017,Transports,Persons employed in goods road transport enterprises by sex,Persons killed in road accidents by type of road,1026,1032
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion,Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions",Persons at risk of poverty or social exclusion,Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,"People, Work & Living Conditions",Persons at risk of monetary poverty after social transfers - EU-SILC and ECHP surveys,Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions",Persons at risk of monetary poverty after social transfers - EU-SILC and ECHP surveys,Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,"People, Work & Living Conditions",Persons at risk of monetary poverty after social transfers by citizenship,Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions",Persons at risk of monetary poverty after social transfers by citizenship,Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,"People, Work & Living Conditions","Persons living in households with very low work intensity, by age group",Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions","Persons living in households with very low work intensity, by age group",Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,"People, Work & Living Conditions",Persons outside the labour force due to caring responsibilities by sex,Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions",Persons outside the labour force due to caring responsibilities by sex,Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,"People, Work & Living Conditions",Persons employed part-time - Total,Persons subject of asylum applications pending at the end of the month - monthly data,1027,1041
1072,Health & Safety,Police-recorded offences by offence category,Police officers,1074,1073
1076,"People, Work & Living Conditions",Population change - Demographic balance and crude rates at regional level (NUTS 3),Population in jobless households,1076,1082
1076,"People, Work & Living Conditions",Population change - Demographic balance and crude rates at regional level (NUTS 3),"Population having neither a bath, nor a shower, nor indoor flushing toilet in their household by poverty status",1076,1081
1076,"People, Work & Living Conditions",Population change - Demographic balance and crude rates at regional level (NUTS 3),Population unable to keep home adequately warm by poverty status,1076,1087
1076,"People, Work & Living Conditions",Population change - Demographic balance and crude rates at regional level (NUTS 3),"Population living in households considering that they suffer from noise, by poverty status",1076,1084
1076,"People, Work & Living Conditions",Population change - Demographic balance and crude rates at regional level (NUTS 3),Population with confidence in EU institutions by institution,1076,1091
1076,"People, Work & Living Conditions",Population change - Demographic balance and crude rates at regional level (NUTS 3),Population as a percentage of EU27 (from population,1076,1077
1076,"People, Work & Living Conditions",Population change - Demographic balance and crude rates at regional level (NUTS 3),Population without the citizenship of the reporting country,1076,1094
1076,"People, Work & Living Conditions",Population structure indicators by NUTS 3 region,Population in jobless households,1076,1082
1076,"People, Work & Living Conditions",Population structure indicators by NUTS 3 region,"Population having neither a bath, nor a shower, nor indoor flushing toilet in their household by poverty status",1076,1081
1076,"People, Work & Living Conditions",Population structure indicators by NUTS 3 region,Population unable to keep home adequately warm by poverty status,1076,1087
1076,"People, Work & Living Conditions",Population structure indicators by NUTS 3 region,"Population living in households considering that they suffer from noise, by poverty status",1076,1084
1076,"People, Work & Living Conditions",Population structure indicators by NUTS 3 region,Population with confidence in EU institutions by institution,1076,1091
1076,"People, Work & Living Conditions",Population structure indicators by NUTS 3 region,Population as a percentage of EU27 (from population,1076,1077
1076,"People, Work & Living Conditions",Population structure indicators by NUTS 3 region,Population without the citizenship of the reporting country,1076,1094
1076,"People, Work & Living Conditions",Population density,Population in jobless households,1076,1082
1076,"People, Work & Living Conditions",Population density,"Population having neither a bath, nor a shower, nor indoor flushing toilet in their household by poverty status",1076,1081
1076,"People, Work & Living Conditions",Population density,Population unable to keep home adequately warm by poverty status,1076,1087
1076,"People, Work & Living Conditions",Population density,"Population living in households considering that they suffer from noise, by poverty status",1076,1084
1076,"People, Work & Living Conditions",Population density,Population with confidence in EU institutions by institution,1076,1091
1076,"People, Work & Living Conditions",Population density,Population as a percentage of EU27 (from population,1076,1077
1076,"People, Work & Living Conditions",Population density,Population without the citizenship of the reporting country,1076,1094
1076,Environment & Natural Resources and Production,Population served by municipal waste,Population connected to public water supply,1086,1079
1076,Environment & Natural Resources and Production,Population served by municipal waste,Population connected to wastewater collection and treatment systems,1086,1079
1076,Environment & Natural Resources and Production,Population served by municipal waste,Population connected to Wastewater Treatment,1086,1079
1076,Environment & Natural Resources and Production,Population served by municipal waste,Population connected to at least secondary wastewater treatment,1086,1079
1076,Environment & Natural Resources and Production,Population served by municipal waste,Population covered by the Covenant of Mayors for Climate & Energy signatories,1086,1080
1076,Environment & Natural Resources and Production,Population connected to public water supply,Population covered by the Covenant of Mayors for Climate & Energy signatories,1079,1080
1076,Environment & Natural Resources and Production,Population connected to wastewater collection and treatment systems,Population covered by the Covenant of Mayors for Climate & Energy signatories,1079,1080
