measure,domain_true,domain_predicted,correct,cluster,cluster_majority_domain,cluster_purity,cluster_n_gt_measures,cluster_n_domains,error_source
"Women who have experienced violence by a non-partner, by age group",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
Women who have experienced violence by a non-partner and consequences of violence,Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
"Women who have experienced violence by a non-partner, by country of birth",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
"Women who have experienced violence by a non-partner, by degree of urbanisation",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
"Women who have experienced violence by a non-partner, by level of education",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
"Women who have experienced violence by a non-partner, by type and frequency of violence",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
"Women who have experienced violence by a non-partner, by level of disability (activity limitation)",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
"Women who have experienced violence by a non-partner, by occurrence of the last episode",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
"Women who have experienced violence by a non-partner, by type of perpetrator",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
"Women who have experienced violence by a non-partner, by person/support service to whom violence was reported",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
"Women who have experienced violence by a non-partner, by type of violence",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
"Ever-working women who have experienced sexual harassment at work, by age group",Health & Safety,Health & Safety,True,569,Health & Safety,1.0,5,1,correct
Perception of ever-working women as victims/non-victims of sexual harassment at work by commonness of harassment,Health & Safety,Health & Safety,True,1347,Health & Safety,1.0,1,1,correct
"Ever-working women who have experienced sexual harassment at work, by frequency",Health & Safety,Health & Safety,True,569,Health & Safety,1.0,5,1,correct
"Ever-working women who have experienced sexual harassment at work, by occurrence of the last episode",Health & Safety,Health & Safety,True,569,Health & Safety,1.0,5,1,correct
"Ever-working women who have experienced sexual harassment at work, by type of male perpetrator",Health & Safety,Health & Safety,True,569,Health & Safety,1.0,5,1,correct
"Ever-working women who have experienced sexual harassment at work, by person/support service to whom violence was reported during last year",Health & Safety,Health & Safety,True,569,Health & Safety,1.0,5,1,correct
"Women who have experienced stalking, by age group",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
"Women who have experienced stalking, by consequences of violence",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
"Women who have experienced stalking, by occurrence of the last episode",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
"Women who have experienced stalking, by type of perpetrator",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
"Women who have experienced stalking, by person/support service to whom violence was reported",Health & Safety,Health & Safety,True,2020,Health & Safety,1.0,38,1,correct
General government employment,"People, Work & Living Conditions","People, Work & Living Conditions",True,705,"People, Work & Living Conditions",1.0,1,1,correct
Apparent cost of general government gross debt,Money & Markets,Money & Markets,True,97,Money & Markets,1.0,1,1,correct
Debt of the EU institutions,Money & Markets,Money & Markets,True,340,Money & Markets,1.0,1,1,correct
Financial accounts for EU institutions,Money & Markets,Money & Markets,True,627,Money & Markets,1.0,1,1,correct
Non-financial accounts for EU institutions,Money & Markets,Money & Markets,True,1225,Money & Markets,1.0,1,1,correct
"Stock of general government debt security liabilities issued as 'green bonds' - one-off data collection, experimental statistics",Money & Markets,Money & Markets,True,1807,Money & Markets,1.0,1,1,correct
Mean consumption expenditure per household and per adult equivalent,"People, Work & Living Conditions",Money & Markets,False,1110,"People, Work & Living Conditions",0.75,4,2,"downstream (LLM domain choice, step 8)"
Mean consumption expenditure by number of active persons,"People, Work & Living Conditions",Money & Markets,False,1110,"People, Work & Living Conditions",0.75,4,2,"downstream (LLM domain choice, step 8)"
Causes of death - crude death rate by NUTS 2 region of residence,Health & Safety,Health & Safety,True,199,Health & Safety,1.0,3,1,correct
"Fetal, peri- and neonatal mortality rates by country of occurrence",Health & Safety,Health & Safety,True,617,Health & Safety,1.0,1,1,correct
Causes of death - potential years of life lost by residence,Health & Safety,Health & Safety,True,199,Health & Safety,1.0,3,1,correct
Deaths of residents related to dementias including Alzheimer,Health & Safety,Health & Safety,True,336,Health & Safety,1.0,1,1,correct
Health impacts of air pollution,Health & Safety,Health & Safety,True,795,Health & Safety,1.0,1,1,correct
Inpatient curative care bed occupancy rate by type of care,Health & Safety,Health & Safety,True,930,Health & Safety,1.0,1,1,correct
"Non-residents among all hospital discharges, %",Health & Safety,Health & Safety,True,1230,Health & Safety,1.0,1,1,correct
End-stage renal failure (ESRF) patients – historical data,Health & Safety,Health & Safety,True,503,Health & Safety,1.0,1,1,correct
Percentage distribution of assistance needed by not employed disabled people by sex,"People, Work & Living Conditions",Health & Safety,False,1339,"People, Work & Living Conditions",1.0,4,1,"downstream (LLM domain choice, step 8)"
Percentage distribution of types of assistance needed by not employed disabled people by sex,"People, Work & Living Conditions",Health & Safety,False,1339,"People, Work & Living Conditions",1.0,4,1,"downstream (LLM domain choice, step 8)"
Percentage distribution of assistance provided to employed disabled people by sex,"People, Work & Living Conditions",Health & Safety,False,1339,"People, Work & Living Conditions",1.0,4,1,"downstream (LLM domain choice, step 8)"
Percentage distribution of types of assistance provided to employed disabled people by sex,"People, Work & Living Conditions",Health & Safety,False,1339,"People, Work & Living Conditions",1.0,4,1,"downstream (LLM domain choice, step 8)"
"Inability to keep home adequately warm by level of disability (activity limitation), sex and age","People, Work & Living Conditions","People, Work & Living Conditions",True,884,"People, Work & Living Conditions",1.0,2,1,correct
"Frequency of alcohol consumption by sex, age and educational attainment level",Health & Safety,Health & Safety,True,667,Health & Safety,1.0,3,1,correct
"Frequency of heavy episodic drinking by sex, age and educational attainment level",Health & Safety,Health & Safety,True,667,Health & Safety,1.0,3,1,correct
"Frequency of heavy episodic drinking by sex, age and income quintile",Health & Safety,Health & Safety,True,667,Health & Safety,1.0,3,1,correct
Self-reported use of home care services by people with severe difficulty in personal care activities by sex and age,Health & Safety,Health & Safety,True,1702,Health & Safety,1.0,6,1,correct
Self-reported use of home care services by people with severe difficulty in personal care activities by age and household type,Health & Safety,Health & Safety,True,1702,Health & Safety,1.0,6,1,correct
"Body mass index (BMI) by sex, age and educational attainment level",Health & Safety,Health & Safety,True,173,Health & Safety,1.0,2,1,correct
"Body mass index (BMI) by sex, age and income quintile",Health & Safety,Health & Safety,True,173,Health & Safety,1.0,2,1,correct
"Daily consumption of fruit and vegetables by sex, age and educational attainment level",Health & Safety,Health & Safety,True,328,Health & Safety,1.0,1,1,correct
Self-reported breast examination by X-ray by educational attainment level among women aged 50-69 (%),Health & Safety,Health & Safety,True,1703,Health & Safety,1.0,1,1,correct
Self-reported cervical smear test by educational attainment level among women aged 20-69 (%),Health & Safety,Health & Safety,True,1704,Health & Safety,1.0,1,1,correct
"Current depressive symptoms by sex, age and educational attainment level",Health & Safety,Health & Safety,True,324,Health & Safety,1.0,2,1,correct
"Current depressive symptoms by sex, age and income quintile",Health & Safety,Health & Safety,True,324,Health & Safety,1.0,2,1,correct
"Time spent on health-enhancing (non-work-related) aerobic physical activity by sex, age and educational attainment level",Health & Safety,"People, Work & Living Conditions",False,1868,Living Well,0.8333333333333334,6,2,"upstream (clustering, step 7)"
"Performing (non-work-related) physical activities by sex, age and educational attainment level",Living Well,"People, Work & Living Conditions",False,1352,Living Well,1.0,1,1,"downstream (LLM domain choice, step 8)"
"Daily smokers of cigarettes by sex, age and educational attainment level",Health & Safety,Health & Safety,True,329,Health & Safety,1.0,2,1,correct
"Daily smokers of cigarettes by sex, age and income quintile",Health & Safety,Health & Safety,True,329,Health & Safety,1.0,2,1,correct
Consultation of a dentist per inhabitant,Health & Safety,Health & Safety,True,266,Health & Safety,1.0,3,1,correct
Consultation of a medical doctor (in private practice or as outpatient) per inhabitant – historical data,Health & Safety,Health & Safety,True,266,Health & Safety,1.0,3,1,correct
Consultation of a medical doctor per inhabitant,Health & Safety,Health & Safety,True,266,Health & Safety,1.0,3,1,correct
Healthy life years by sex (from onwards),Health & Safety,Health & Safety,True,800,Health & Safety,1.0,6,1,correct
Healthy life years -,Health & Safety,Health & Safety,True,800,Health & Safety,1.0,6,1,correct
Vaccination against influenza of population aged 65 and over,Health & Safety,Health & Safety,True,1975,Health & Safety,1.0,1,1,correct
Preventive cancer screenings - programme data,Health & Safety,Health & Safety,True,1498,Health & Safety,1.0,1,1,correct
Breast cancer and cervical cancer screenings - historical data,Health & Safety,Health & Safety,True,175,Health & Safety,1.0,1,1,correct
Beds in nursing and other residential long-term care facilities,Health & Safety,Health & Safety,True,167,Health & Safety,1.0,1,1,correct
Health graduates,Health & Safety,Health & Safety,True,793,Health & Safety,1.0,2,1,correct
Health personnel,Health & Safety,Health & Safety,True,793,Health & Safety,1.0,2,1,correct
Health care expenditure by function,Health & Safety,Health & Safety,True,794,Health & Safety,1.0,3,1,correct
Health care expenditure by financing scheme,Health & Safety,Health & Safety,True,794,Health & Safety,1.0,3,1,correct
"Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile",Health & Safety,Health & Safety,True,1702,Health & Safety,1.0,6,1,correct
"Self-reported unmet needs for medical examination due to financial reasons, long waiting list or distance by NUTS regions - % of the persons having the same needs",Health & Safety,Health & Safety,True,1702,Health & Safety,1.0,6,1,correct
"People having a long-standing illness or health problem, by sex, age and income quintile",Health & Safety,Health & Safety,True,1326,Health & Safety,1.0,1,1,correct
Persons reporting a road traffic accident,Health & Safety,"People, Work & Living Conditions",False,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,"upstream (clustering, step 7)"
"Persons reporting an accident at work by sex, age and professional status",Health & Safety,"People, Work & Living Conditions",False,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,"upstream (clustering, step 7)"
Standardised incidence rate of accidents at work by NACE Rev. 1.1 activity and size of enterprise,Health & Safety,Health & Safety,True,1799,Health & Safety,1.0,2,1,correct
Standardised incidence rate of accidents at work by NACE Rev. 1.1 activity and employment status,Health & Safety,Health & Safety,True,1799,Health & Safety,1.0,2,1,correct
Number of accidents at work by part of body injured and severity,Health & Safety,Health & Safety,True,3,Health & Safety,1.0,4,1,correct
Number of accidents at work by NACE Rev. 1.1 activity and severity,Health & Safety,Health & Safety,True,3,Health & Safety,1.0,4,1,correct
Number of accidents at work by NACE Rev. 1.1 activity and size of enterprise,Health & Safety,Health & Safety,True,3,Health & Safety,1.0,4,1,correct
Number of accidents at work by NACE Rev. 1.1 activity and employment status,Health & Safety,Health & Safety,True,3,Health & Safety,1.0,4,1,correct
"Incidence rate of accidents at work by type of workstation, NACE Rev. 1.1 activity, sex, age and severity",Health & Safety,Health & Safety,True,888,Health & Safety,1.0,1,1,correct
"Number of work-related health problems by diagnosis group, sex and number of complaints per victim",Health & Safety,Health & Safety,True,28,Health & Safety,1.0,1,1,correct
Work-related health problems in by sex,Health & Safety,Health & Safety,True,2024,Health & Safety,1.0,1,1,correct
Relative standardised incidence rate of accidental injuries at work by educational attainment level and sex (mean rate for each Member State = 100),Health & Safety,Health & Safety,True,1626,Health & Safety,1.0,1,1,correct
Relative incidence rate of accidental injuries at work by occupation and NACE Rev. 1.1 activity (EU mean rate = 100),Health & Safety,Health & Safety,True,1620,Health & Safety,1.0,4,1,correct
Accidental injuries at work in by sex,Health & Safety,Health & Safety,True,41,Health & Safety,1.0,1,1,correct
"Relative incidence rate of accidental injuries at work by severity, working hours and sex (EU mean rate = 100 for each severity)",Health & Safety,Health & Safety,True,1620,Health & Safety,1.0,4,1,correct
"Relative incidence rate of accidental injuries at work by severity, frequency of night work and age (EU mean rate = 100 for each severity)",Health & Safety,Health & Safety,True,1620,Health & Safety,1.0,4,1,correct
"Relative incidence rate of accidental injuries at work by severity, frequency of shift work and age (EU mean rate = 100 for each severity)",Health & Safety,Health & Safety,True,1620,Health & Safety,1.0,4,1,correct
Indicators on health and safety at work,Health & Safety,Health & Safety,True,901,Health & Safety,1.0,1,1,correct
Recognised cases of occupational cancers - experimental statistics,Health & Safety,Health & Safety,True,1611,Health & Safety,1.0,1,1,correct
EU index of occupational diseases – experimental statistics,"People, Work & Living Conditions",Health & Safety,False,411,"People, Work & Living Conditions",1.0,1,1,"downstream (LLM domain choice, step 8)"
High-tech exports - Exports of high technology products as a share of total exports (from SITC Rev. 4),Tech & Innovation,Money & Markets,False,806,Tech & Innovation,1.0,2,1,"downstream (LLM domain choice, step 8)"
Distribution of households by age of the reference person - experimental statistics,"People, Work & Living Conditions","People, Work & Living Conditions",True,364,"People, Work & Living Conditions",1.0,7,1,correct
Distribution of households by household type - experimental statistics,"People, Work & Living Conditions","People, Work & Living Conditions",True,364,"People, Work & Living Conditions",1.0,7,1,correct
Distribution of households by activity status of the reference person - experimental statistics,"People, Work & Living Conditions","People, Work & Living Conditions",True,364,"People, Work & Living Conditions",1.0,7,1,correct
Proportion of dissaving households - experimental statistics,"People, Work & Living Conditions","People, Work & Living Conditions",True,1548,"People, Work & Living Conditions",1.0,3,1,correct
Median saving rate by household type - experimental statistics,"People, Work & Living Conditions","People, Work & Living Conditions",True,1121,"People, Work & Living Conditions",1.0,5,1,correct
Median saving rate by income quintile - experimental statistics,"People, Work & Living Conditions","People, Work & Living Conditions",True,1121,"People, Work & Living Conditions",1.0,5,1,correct
Gini coefficient on household population - experimental statistics,"People, Work & Living Conditions","People, Work & Living Conditions",True,716,"People, Work & Living Conditions",1.0,6,1,correct
Aggregate propensity to consume by household type - experimental statistics,"People, Work & Living Conditions","People, Work & Living Conditions",True,60,"People, Work & Living Conditions",1.0,4,1,correct
Aggregate propensity to consume by income quintile - experimental statistics,"People, Work & Living Conditions","People, Work & Living Conditions",True,60,"People, Work & Living Conditions",1.0,4,1,correct
Median saving rate by the self-declared level of difficulty to make ends meet - experimental statistics,"People, Work & Living Conditions","People, Work & Living Conditions",True,1121,"People, Work & Living Conditions",1.0,5,1,correct
Median saving rate by degree of urbanisation - experimental statistics,"People, Work & Living Conditions","People, Work & Living Conditions",True,1121,"People, Work & Living Conditions",1.0,5,1,correct
Aggregate propensity to consume by degree of urbanisation - experimental statistics,"People, Work & Living Conditions","People, Work & Living Conditions",True,60,"People, Work & Living Conditions",1.0,4,1,correct
Median saving rate by activity status of the reference person - experimental statistics,"People, Work & Living Conditions","People, Work & Living Conditions",True,1121,"People, Work & Living Conditions",1.0,5,1,correct
Aggregate propensity to consume by activity status of the reference person - experimental statistics,"People, Work & Living Conditions","People, Work & Living Conditions",True,60,"People, Work & Living Conditions",1.0,4,1,correct
Median number of weekly hours of formal care by age group - children with at least 1 hour of formal care - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1119,"People, Work & Living Conditions",1.0,2,1,correct
Median number of weekly hours of other types of care by age group - children with at least one hour of other types of care - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1119,"People, Work & Living Conditions",1.0,2,1,correct
Average number of weekly hours of formal care by age group - children with or without formal care - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,132,"People, Work & Living Conditions",0.875,8,2,correct
Average number of weekly hours of formal care by age group - children with at least 1 hour of formal care - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,132,"People, Work & Living Conditions",0.875,8,2,correct
Average number of weekly hours of other types of care by age group - children with or without other types of care - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,132,"People, Work & Living Conditions",0.875,8,2,correct
Average number of weekly hours of other types of care by age group - children with at least one hour of other types of care - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,132,"People, Work & Living Conditions",0.875,8,2,correct
Children cared only by their parents by age group - % over the population of each age group - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,211,"People, Work & Living Conditions",1.0,2,1,correct
Child specific material deprivation rate by age (children aged less than 16 years),"People, Work & Living Conditions","People, Work & Living Conditions",True,210,"People, Work & Living Conditions",1.0,3,1,correct
Child specific material deprivation rate by household composition (children aged less than 16 years),"People, Work & Living Conditions","People, Work & Living Conditions",True,210,"People, Work & Living Conditions",1.0,3,1,correct
Child specific material deprivation rate by educational attainment level of their parents (children aged less than 16 years),"People, Work & Living Conditions","People, Work & Living Conditions",True,210,"People, Work & Living Conditions",1.0,3,1,correct
Mean number of deprivation items among the children deprived (children aged less than 16 years),"People, Work & Living Conditions","People, Work & Living Conditions",True,1113,"People, Work & Living Conditions",1.0,1,1,correct
Children having one of their parents living outside the household,"People, Work & Living Conditions","People, Work & Living Conditions",True,216,"People, Work & Living Conditions",1.0,1,1,correct
Parents spending enough time with children living with them,"People, Work & Living Conditions","People, Work & Living Conditions",True,1296,"People, Work & Living Conditions",1.0,1,1,correct
Income quintile share ratio S80/S20 by NUTS 2 regions - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,895,"People, Work & Living Conditions",1.0,3,1,correct
Effect of taxes on income quintile share ratio S80/S20,"People, Work & Living Conditions","People, Work & Living Conditions",True,436,"People, Work & Living Conditions",1.0,2,1,correct
Effect of social transfers on income quintile share ratio S80/S20,"People, Work & Living Conditions","People, Work & Living Conditions",True,435,"People, Work & Living Conditions",1.0,1,1,correct
Effect of taxes and social transfers on income quintile share ratio S80/S20,"People, Work & Living Conditions","People, Work & Living Conditions",True,436,"People, Work & Living Conditions",1.0,2,1,correct
Gini coefficient of equivalised disposable income by age,"People, Work & Living Conditions","People, Work & Living Conditions",True,716,"People, Work & Living Conditions",1.0,6,1,correct
Gini coefficient of equivalised disposable income before social transfers (pensions included in social transfers),"People, Work & Living Conditions","People, Work & Living Conditions",True,716,"People, Work & Living Conditions",1.0,6,1,correct
Gini coefficient of equivalised disposable income before social transfers (pensions excluded from social transfers),"People, Work & Living Conditions","People, Work & Living Conditions",True,716,"People, Work & Living Conditions",1.0,6,1,correct
Income in real terms SILC=100),"People, Work & Living Conditions","People, Work & Living Conditions",True,892,"People, Work & Living Conditions",1.0,1,1,correct
Children with unmet needs for medical examination or treatment by specific reason,Health & Safety,Health & Safety,True,218,Health & Safety,1.0,1,1,correct
"Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level","People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
"Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile","People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
"Persons reporting basic activity difficulty by sex, age, level of difficulty and degree of urbanization","People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
"Persons reporting basic activity difficulty by sex, age, level of difficulty, type of basic action and risk of poverty threshold","People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
At-risk-of poverty rate for adults (aged 25 to 59 years) by educational attainment level of their parents,"People, Work & Living Conditions","People, Work & Living Conditions",True,125,"People, Work & Living Conditions",1.0,26,1,correct
At-risk-of poverty rate for adults (aged 25 to 59 years) by level of financial situation of their households when respondent was around 14 years old,"People, Work & Living Conditions","People, Work & Living Conditions",True,125,"People, Work & Living Conditions",1.0,26,1,correct
In-work at-risk-of-poverty rate by household type - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,879,"People, Work & Living Conditions",1.0,8,1,correct
In-work at-risk-of-poverty rate by educational attainment level - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,879,"People, Work & Living Conditions",1.0,8,1,correct
In-work at-risk-of-poverty rate by months worked - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,879,"People, Work & Living Conditions",1.0,8,1,correct
In-work at-risk-of-poverty rate by full-/part-time work - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,879,"People, Work & Living Conditions",1.0,8,1,correct
"At-risk-of-poverty rate by poverty threshold, age and sex - EU-SILC and ECHP surveys","People, Work & Living Conditions","People, Work & Living Conditions",True,125,"People, Work & Living Conditions",1.0,26,1,correct
Relative at risk of poverty gap by poverty threshold - EU-SILC and ECHP surveys,"People, Work & Living Conditions","People, Work & Living Conditions",True,1619,"People, Work & Living Conditions",1.0,1,1,correct
Relative poverty gap by risk of poverty and work intensity of the household,"People, Work & Living Conditions","People, Work & Living Conditions",True,1623,"People, Work & Living Conditions",1.0,2,1,correct
Relative poverty gap by risk of poverty and work intensity of the households with income from benefits,"People, Work & Living Conditions","People, Work & Living Conditions",True,1623,"People, Work & Living Conditions",1.0,2,1,correct
Persistent at-risk-of-poverty rate by sex and age - EU-SILC and ECHP surveys,"People, Work & Living Conditions","People, Work & Living Conditions",True,1357,"People, Work & Living Conditions",1.0,3,1,correct
At-risk-of-poverty rate anchored at a fixed moment in time by age and sex - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,125,"People, Work & Living Conditions",1.0,26,1,correct
At-risk-of poverty rate for children by citizenship of their parents (population aged 0 to 17 years),"People, Work & Living Conditions","People, Work & Living Conditions",True,125,"People, Work & Living Conditions",1.0,26,1,correct
At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17 years),"People, Work & Living Conditions","People, Work & Living Conditions",True,125,"People, Work & Living Conditions",1.0,26,1,correct
At-risk-of-poverty rate after deducting housing costs by degree of urbanisation,"People, Work & Living Conditions","People, Work & Living Conditions",True,125,"People, Work & Living Conditions",1.0,26,1,correct
Persons receiving benefits (other than old age benefits) by risk of poverty and work intensity of the household (population aged 18-64),"People, Work & Living Conditions","People, Work & Living Conditions",True,1402,"People, Work & Living Conditions",1.0,1,1,correct
Self defined health status by age and income quantile - ECHP survey,"People, Work & Living Conditions",Health & Safety,False,1697,"People, Work & Living Conditions",1.0,1,1,"downstream (LLM domain choice, step 8)"
Persons having experienced housing difficulties in their life by sex and current risk of poverty or social exclusion situation,"People, Work & Living Conditions","People, Work & Living Conditions",True,1379,"People, Work & Living Conditions",1.0,4,1,correct
Persons having experienced housing difficulties in their life by sex and type of temporary solution (effect),"People, Work & Living Conditions","People, Work & Living Conditions",True,1379,"People, Work & Living Conditions",1.0,4,1,correct
Persons having experienced housing difficulties in their life by sex and group of country of birth,"People, Work & Living Conditions","People, Work & Living Conditions",True,1379,"People, Work & Living Conditions",1.0,4,1,correct
Persons having experienced housing difficulties in their life by sex and group of current country of citizenship,"People, Work & Living Conditions","People, Work & Living Conditions",True,1379,"People, Work & Living Conditions",1.0,4,1,correct
Persons having overcome housing difficulties experienced in their life by sex and reason,"People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
Persons living in households with very low work intensity by age and sex (population aged 0 to 64 years),"People, Work & Living Conditions","People, Work & Living Conditions",True,1386,"People, Work & Living Conditions",1.0,4,1,correct
Persons living in households with very low work intensity by NUTS regions (population aged 0 to 64 years),"People, Work & Living Conditions","People, Work & Living Conditions",True,1386,"People, Work & Living Conditions",1.0,4,1,correct
Persons living in households with very low work intensity by degree of urbanisation (population aged 0 to 64 years) - EU strategy,"People, Work & Living Conditions","People, Work & Living Conditions",True,1386,"People, Work & Living Conditions",1.0,4,1,correct
Labour transitions by employment status,"People, Work & Living Conditions","People, Work & Living Conditions",True,994,"People, Work & Living Conditions",1.0,2,1,correct
Labour transitions from temporary to permanent contracts by sex -3-year average,"People, Work & Living Conditions","People, Work & Living Conditions",True,994,"People, Work & Living Conditions",1.0,2,1,correct
Average number of rooms per person by tenure status and dwelling type until - ECHP survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,132,"People, Work & Living Conditions",0.875,8,2,correct
Average number of rooms per person by degree of urbanization,"People, Work & Living Conditions","People, Work & Living Conditions",True,132,"People, Work & Living Conditions",0.875,8,2,correct
Average number of rooms per person by NUTS region,"People, Work & Living Conditions","People, Work & Living Conditions",True,132,"People, Work & Living Conditions",0.875,8,2,correct
"Overcrowding rate by age, sex and poverty status - total population - EU-SILC survey","People, Work & Living Conditions","People, Work & Living Conditions",True,1287,"People, Work & Living Conditions",1.0,12,1,correct
Overcrowding rate by tenure status - total population - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1287,"People, Work & Living Conditions",1.0,12,1,correct
Overcrowding rate by degree of urbanisation - total population - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1287,"People, Work & Living Conditions",1.0,12,1,correct
Housing cost overburden rate by NUTS regions,"People, Work & Living Conditions","People, Work & Living Conditions",True,849,"People, Work & Living Conditions",1.0,10,1,correct
Housing cost overburden rate by income quintile - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,849,"People, Work & Living Conditions",1.0,10,1,correct
Housing cost overburden rate by tenure status - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,849,"People, Work & Living Conditions",1.0,10,1,correct
Housing cost overburden rate by degree of urbanisation - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,849,"People, Work & Living Conditions",1.0,10,1,correct
Median of the housing cost burden distribution by degree of urbanisation - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1120,"People, Work & Living Conditions",1.0,4,1,correct
Share of people living in under-occupied dwellings by tenure status - total population - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1731,"People, Work & Living Conditions",0.6666666666666666,3,2,correct
Share of people living in under-occupied dwellings by degree of urbanisation - total population - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1731,"People, Work & Living Conditions",0.6666666666666666,3,2,correct
Average household size - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,142,"People, Work & Living Conditions",1.0,1,1,correct
Distribution of households by household type until - ECHP survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,364,"People, Work & Living Conditions",1.0,7,1,correct
Distribution of households by household size - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,364,"People, Work & Living Conditions",1.0,7,1,correct
Distribution of households with children by number of children - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,364,"People, Work & Living Conditions",1.0,7,1,correct
Persons living with their parents or contributing/benefiting from the household income (population aged 18 to 34 years),"People, Work & Living Conditions","People, Work & Living Conditions",True,1387,"People, Work & Living Conditions",1.0,1,1,correct
Share of children (aged less than 18) living with their parents by type of household - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1737,"People, Work & Living Conditions",1.0,1,1,correct
"Material deprivation for the 'Housing' dimension, by age, sex and by number of item of deprivation - EU-SILC survey","People, Work & Living Conditions","People, Work & Living Conditions",True,1099,"People, Work & Living Conditions",1.0,3,1,correct
Severe material deprivation rate by age and sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,1722,"People, Work & Living Conditions",1.0,14,1,correct
Severe material deprivation rate by tenure status,"People, Work & Living Conditions","People, Work & Living Conditions",True,1722,"People, Work & Living Conditions",1.0,14,1,correct
Severe material deprivation rate by NUTS regions,"People, Work & Living Conditions","People, Work & Living Conditions",True,1722,"People, Work & Living Conditions",1.0,14,1,correct
Inability to keep home adequately warm by NUTS regions,"People, Work & Living Conditions","People, Work & Living Conditions",True,884,"People, Work & Living Conditions",1.0,2,1,correct
"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day - EU-SILC survey","People, Work & Living Conditions","People, Work & Living Conditions",True,882,"People, Work & Living Conditions",1.0,2,1,correct
"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day by NUTS regions","People, Work & Living Conditions","People, Work & Living Conditions",True,882,"People, Work & Living Conditions",1.0,2,1,correct
